alpha,beta,r2,nobs,year_month,observations,stock,method
-0.002006191707388229,0.6997414484720296,0.35114274518093,21,2025-03-01,21,海南机场,contemporaneous
0.00099011952548721,1.4851281034755983,0.5620239951586137,21,2025-04-01,21,海南机场,contemporaneous
-0.0016727847366116255,0.7896811516031872,0.3364017079036584,19,2025-05-01,19,海南机场,contemporaneous
0.0001731248100150743,0.9340279285594643,0.2249992280177664,20,2025-06-01,20,海南机场,contemporaneous
0.0014602571106772987,2.3242638197279026,0.213487568267823,23,2025-07-01,23,海南机场,contemporaneous
-0.0041573537487118156,0.8409308028494275,0.40272592929913853,21,2025-08-01,21,海南机场,contemporaneous
0.002219984212626733,0.4544448722388943,0.15370238606960063,22,2025-09-01,22,海南机场,contemporaneous
0.010538048426592663,-0.446823252075279,0.030938204676467795,17,2025-10-01,17,海南机场,contemporaneous
0.0007624133522191141,0.07733334913733547,0.0004946728524262145,20,2025-11-01,20,海南机场,contemporaneous
0.0014977164318938905,2.4872327067141846,0.19172629806487207,23,2025-12-01,23,海南机场,contemporaneous
0.0020952099220808537,0.7513235016196375,0.17439609712511384,18,2025-01-01,18,海大集团,contemporaneous
0.0022810875040929503,-0.6594653883934929,0.10706982907095253,18,2025-02-01,18,海大集团,contemporaneous
-0.0007879870906571367,0.5227109620013126,0.05916825397598269,21,2025-03-01,21,海大集团,contemporaneous
0.006630229950135586,1.0049207647024603,0.440593854833245,21,2025-04-01,21,海大集团,contemporaneous
0.0047382455194070056,0.1085515775532439,0.0013956178979213085,19,2025-05-01,19,海大集团,contemporaneous
-0.001292859513514519,0.5062377091385074,0.041706298675523557,20,2025-06-01,20,海大集团,contemporaneous
-0.0018549433430883674,0.22624138894978518,0.006439172076162514,23,2025-07-01,23,海大集团,contemporaneous
0.00214312786315528,0.4319669171574934,0.10506717413029454,21,2025-08-01,21,海大集团,contemporaneous
0.001765308682996694,0.12119905119488444,0.0051185137080063114,22,2025-09-01,22,海大集团,contemporaneous
-0.004973944736316962,0.15706051738832857,0.008804683920525469,17,2025-10-01,17,海大集团,contemporaneous
-0.00204321248782338,0.07680963362060234,0.0018764083597236914,20,2025-11-01,20,海大集团,contemporaneous
-0.00010169131662032121,-0.09275106084689214,0.001596290912574072,23,2025-12-01,23,海大集团,contemporaneous
-0.005167560858014442,0.6342629541208189,0.3578476120020614,18,2025-01-01,18,海天味业,contemporaneous
-0.000684047001145062,0.8365562061851857,0.434264587388724,18,2025-02-01,18,海天味业,contemporaneous
-0.0005218819196265772,1.4047968784187872,0.6287645015166876,21,2025-03-01,21,海天味业,contemporaneous
0.002541550950112219,0.6303857646845488,0.30599546179758796,21,2025-04-01,21,海天味业,contemporaneous
0.003118981773225388,0.02300242454019187,0.00012758394338763246,19,2025-05-01,19,海天味业,contemporaneous
-0.007173607759449615,1.2806410789282672,0.40086578323949384,20,2025-06-01,20,海天味业,contemporaneous
-0.0023849081159329506,1.1662751893880077,0.6691983800504824,23,2025-07-01,23,海天味业,contemporaneous
0.000573082955340418,0.676387290411392,0.27431445799629517,21,2025-08-01,21,海天味业,contemporaneous
-0.002719927661716556,0.17854460421297436,0.04708943639917973,22,2025-09-01,22,海天味业,contemporaneous
-0.0012904649538505726,0.337904215459732,0.30575362927481264,17,2025-10-01,17,海天味业,contemporaneous
-0.0010703329976022623,0.37629037857551273,0.23686990262064633,20,2025-11-01,20,海天味业,contemporaneous
-0.0002946213918641276,0.3809567387499973,0.15081158435940534,23,2025-12-01,23,海天味业,contemporaneous
0.0001416146070367108,0.82761306916931,0.21905131950862655,18,2025-01-01,18,海尔智家,contemporaneous
-0.0038939611388602536,0.8149384871530541,0.22628432146232358,18,2025-02-01,18,海尔智家,contemporaneous
0.0020679824228721478,1.2763088031507548,0.42136901058618903,21,2025-03-01,21,海尔智家,contemporaneous
-0.002339374817578078,1.488070395286874,0.8346440072336923,21,2025-04-01,21,海尔智家,contemporaneous
-0.0009047763174759156,1.4916623053425329,0.6441227117334251,19,2025-05-01,19,海尔智家,contemporaneous
-0.0014859890382575357,0.8023722525853456,0.24499865500495321,20,2025-06-01,20,海尔智家,contemporaneous
-0.00014349039981719283,1.2698942953350982,0.2565312370898294,23,2025-07-01,23,海尔智家,contemporaneous
-0.00010299987212180131,0.588751231767954,0.40463151798213537,21,2025-08-01,21,海尔智家,contemporaneous
-0.002195297542760399,0.4555518636308495,0.08376453197378175,22,2025-09-01,22,海尔智家,contemporaneous
0.003435982845729057,-0.11170837739396072,0.011486993886319019,17,2025-10-01,17,海尔智家,contemporaneous
0.0024421074449638624,0.4076212928567887,0.15573987668967526,20,2025-11-01,20,海尔智家,contemporaneous
-0.0025212163752603824,0.14540672236003455,0.012871961755714922,23,2025-12-01,23,海尔智家,contemporaneous
-0.001211709288459341,1.105434566816786,0.7602281575187878,18,2025-01-01,18,海康威视,contemporaneous
0.0012170130970548885,0.9483981668211291,0.22987791508766164,18,2025-02-01,18,海康威视,contemporaneous
0.001092877543578149,1.5042841514112755,0.32582810008429586,21,2025-03-01,21,海康威视,contemporaneous
-0.002656490313961028,0.9311570586430074,0.8026758748790587,21,2025-04-01,21,海康威视,contemporaneous
0.0002654372850490257,0.8930205017836925,0.5630608537708681,19,2025-05-01,19,海康威视,contemporaneous
-0.001600464648845822,0.7225909911474777,0.45511809507345935,20,2025-06-01,20,海康威视,contemporaneous
-0.0006865473327928035,0.837800814040753,0.5698200821387212,23,2025-07-01,23,海康威视,contemporaneous
0.0019247741445324543,0.6614274215993803,0.16884074777067448,21,2025-08-01,21,海康威视,contemporaneous
-0.00077520257239249,0.9252127398359259,0.4640591683473806,22,2025-09-01,22,海康威视,contemporaneous
0.003392442879709359,0.8284710449409078,0.17565200914586454,17,2025-10-01,17,海康威视,contemporaneous
-0.0036451190119337895,0.6735405757876245,0.29819213830283686,20,2025-11-01,20,海康威视,contemporaneous
-0.0012655465733726495,1.0346597076210702,0.5240048093528156,23,2025-12-01,23,海康威视,contemporaneous
0.0031326712799154555,0.3306512982415777,0.1902970154029504,18,2025-01-01,18,海螺水泥,contemporaneous
-0.003685788158540739,0.012522402755553386,6.270153083920427e-05,18,2025-02-01,18,海螺水泥,contemporaneous
0.002157634089417257,0.10315877762380571,0.003415720182056714,21,2025-03-01,21,海螺水泥,contemporaneous
0.00029873089783399994,0.4698302501647446,0.25242544811618783,21,2025-04-01,21,海螺水泥,contemporaneous
-0.002278006376433898,0.4126765001174887,0.1167224829120399,19,2025-05-01,19,海螺水泥,contemporaneous
-0.003158639583863222,0.7092377649708119,0.22188851725120207,20,2025-06-01,20,海螺水泥,contemporaneous
0.00018569907402574744,2.932639809585451,0.21242939836204366,23,2025-07-01,23,海螺水泥,contemporaneous
0.0002965254740896197,0.2827086107161933,0.07159278650408352,21,2025-08-01,21,海螺水泥,contemporaneous
-0.00214057548315867,0.33310888775201036,0.11379855861220634,22,2025-09-01,22,海螺水泥,contemporaneous
2.4719643859582273e-06,0.25797660543871354,0.059112376135117994,17,2025-10-01,17,海螺水泥,contemporaneous
-0.0001898330255192004,0.4227338698584098,0.17319779402037339,20,2025-11-01,20,海螺水泥,contemporaneous
-0.002145974482666021,0.2599748112153852,0.04511906922209885,23,2025-12-01,23,海螺水泥,contemporaneous
-0.00012405238397278189,1.4801043374911231,0.5652306033707398,18,2025-01-01,18,海通证券,contemporaneous
0.012534738866033505,2.4991569825461846,0.4427038160127704,18,2025-01-01,18,润泽科技,contemporaneous
7.498111168576394e-05,3.4692482045977586,0.2735787401503256,18,2025-02-01,18,润泽科技,contemporaneous
-0.0033445420100649114,1.6461778863686087,0.1597471477517648,21,2025-03-01,21,润泽科技,contemporaneous
-0.0048028745003707695,1.421154580007802,0.26868874370606666,21,2025-04-01,21,润泽科技,contemporaneous
-0.0076184252371136255,1.4214701311601479,0.15453802515491555,19,2025-05-01,19,润泽科技,contemporaneous
0.003520088618274532,3.170564588671004,0.4895370763852527,20,2025-06-01,20,润泽科技,contemporaneous
0.0018728052623825718,-0.718026165761339,0.01907733349435492,23,2025-07-01,23,润泽科技,contemporaneous
0.0013915320184445445,1.4962520404095119,0.20471550268197658,21,2025-08-01,21,润泽科技,contemporaneous
-0.006976088399913971,2.2285610030002254,0.47147253664842437,22,2025-09-01,22,润泽科技,contemporaneous
-0.0028654657464756168,1.012917690085473,0.20036730054242147,17,2025-10-01,17,润泽科技,contemporaneous
-0.0012859486721363061,1.1289132450742203,0.24235818598652936,20,2025-11-01,20,润泽科技,contemporaneous
0.0025770734802904134,2.1685540752498063,0.3216979734058445,23,2025-12-01,23,润泽科技,contemporaneous
0.005235787674636875,1.4451937932922787,0.24671867718476692,18,2025-01-01,18,深南电路,contemporaneous
-0.0014268092960974203,2.4042342220386432,0.2296022561453549,18,2025-02-01,18,深南电路,contemporaneous
-0.0011882145357741975,2.47494748741886,0.32490460461801585,21,2025-03-01,21,深南电路,contemporaneous
-0.004802859863970179,1.2313847757892777,0.4395338380895344,21,2025-04-01,21,深南电路,contemporaneous
-0.001096460117915963,2.3420283895499114,0.3793776878570868,19,2025-05-01,19,深南电路,contemporaneous
0.01236383633070094,0.29457434071353683,0.004128835325612479,20,2025-06-01,20,深南电路,contemporaneous
0.009715097335750635,2.1179761726629383,0.08077507921057081,23,2025-07-01,23,深南电路,contemporaneous
0.005413078648853979,2.3909904166572646,0.2514354392174819,21,2025-08-01,21,深南电路,contemporaneous
0.0009755657288591912,3.0409037909815844,0.3498823002403759,22,2025-09-01,22,深南电路,contemporaneous
0.0006408693791228135,3.3052205549121316,0.5697132367589635,17,2025-10-01,17,深南电路,contemporaneous
-0.0019880187676683796,1.892871324126879,0.39794290070621974,20,2025-11-01,20,深南电路,contemporaneous
0.006239558843716269,1.8622380512672037,0.14044881191313618,23,2025-12-01,23,深南电路,contemporaneous
0.00011500072758462848,0.821502153464959,0.5700671573074962,18,2025-01-01,18,温氏股份,contemporaneous
0.00016969573905085207,0.38181931779921363,0.0924321166418306,18,2025-02-01,18,温氏股份,contemporaneous
0.0011821203777988482,0.24527933775800448,0.033005479897696754,21,2025-03-01,21,温氏股份,contemporaneous
0.0015306772815257053,0.43227090919853406,0.12408634629471704,21,2025-04-01,21,温氏股份,contemporaneous
-0.0004895959722726597,0.25666615042829993,0.04233204681921732,19,2025-05-01,19,温氏股份,contemporaneous
4.651714982288743e-05,1.094034008077073,0.12765967332631634,20,2025-06-01,20,温氏股份,contemporaneous
-0.0009951498575022698,1.1047854182543242,0.15552354996777962,23,2025-07-01,23,温氏股份,contemporaneous
0.0012150340569734982,0.2566393232986559,0.04144241422831507,21,2025-08-01,21,温氏股份,contemporaneous
0.0003885883779382296,0.5336714276868174,0.10555499654088762,22,2025-09-01,22,温氏股份,contemporaneous
-0.0014297681525122482,0.10605859270822271,0.01768513973921504,17,2025-10-01,17,温氏股份,contemporaneous
0.0012915399825137034,0.4950125376683713,0.1399723105839522,20,2025-11-01,20,温氏股份,contemporaneous
-0.0030163803986548972,0.0977145566121311,0.0037269231389921442,23,2025-12-01,23,温氏股份,contemporaneous
0.004810162515104998,1.0847414768563146,0.2582837594646509,18,2025-01-01,18,潍柴动力,contemporaneous
0.0035624002409682222,1.321886957054974,0.3205090086015632,18,2025-02-01,18,潍柴动力,contemporaneous
0.002255326416745679,0.6185475165925169,0.10053017991162516,21,2025-03-01,21,潍柴动力,contemporaneous
-0.0019599085787901497,1.1146686074966,0.7564874687706125,21,2025-04-01,21,潍柴动力,contemporaneous
-0.0016169010878388486,1.1686450612009485,0.2580612387755944,19,2025-05-01,19,潍柴动力,contemporaneous
-0.0002419492918602703,1.120594676079579,0.3992940073551279,20,2025-06-01,20,潍柴动力,contemporaneous
-0.0014585706845574677,1.1604297086597088,0.34239047616501783,23,2025-07-01,23,潍柴动力,contemporaneous
-0.002129526324103537,0.4704939859634872,0.15658445882113703,21,2025-08-01,21,潍柴动力,contemporaneous
-0.003991006119804713,0.3731539643946092,0.13894264267047185,22,2025-09-01,22,潍柴动力,contemporaneous
0.005363193756725657,0.12570613566383765,0.014503707879253258,17,2025-10-01,17,潍柴动力,contemporaneous
0.010219920341591028,2.0417743444276395,0.35292543411504096,20,2025-11-01,20,潍柴动力,contemporaneous
-0.0012682677572305248,1.0802643097125344,0.2980311788186417,23,2025-12-01,23,潍柴动力,contemporaneous
-0.006272987075499426,0.5694959945737293,0.14743763179852865,18,2025-01-01,18,潞安环能,contemporaneous
-0.0029303094675288766,0.5356702777189628,0.3253734836165727,18,2025-02-01,18,潞安环能,contemporaneous
2.2850667347385943e-05,-0.2013598570490846,0.011346513864956775,21,2025-03-01,21,潞安环能,contemporaneous
-0.002654805490253743,1.2682147702434805,0.7813238758286987,21,2025-04-01,21,潞安环能,contemporaneous
-0.002047388078632005,1.2356216489009462,0.5019216038460017,19,2025-05-01,19,潞安环能,contemporaneous
0.0010568515543093234,0.04218130610371147,0.0004845657306363771,20,2025-06-01,20,潞安环能,contemporaneous
0.0067395150785448475,3.4599759429962678,0.3526855055412419,23,2025-07-01,23,潞安环能,contemporaneous
-0.007860649621254859,1.1437426187950868,0.22347785070023396,21,2025-08-01,21,潞安环能,contemporaneous
0.003088034237620477,0.986643632181941,0.16655217406407774,22,2025-09-01,22,潞安环能,contemporaneous
0.0027224644857355485,0.31810374249570605,0.0157838527762153,17,2025-10-01,17,潞安环能,contemporaneous
-0.004695177044853317,1.1462953599553831,0.21816616321299875,20,2025-11-01,20,潞安环能,contemporaneous
-0.0048804703281668076,0.6159149162161615,0.11685846676204126,23,2025-12-01,23,潞安环能,contemporaneous
0.0021964537954439517,1.9256701079545535,0.4394180836831181,17,2025-01-01,17,澜起科技,contemporaneous
0.005182716870408386,2.517427959825244,0.5273206349030837,18,2025-02-01,18,澜起科技,contemporaneous
0.0005999833405031154,1.42735267445332,0.2444697560304584,21,2025-03-01,21,澜起科技,contemporaneous
0.0020934760254023815,1.780344845477835,0.6577389956108035,21,2025-04-01,21,澜起科技,contemporaneous
-0.0018011725820234676,1.5533316538910302,0.4798934022756812,19,2025-05-01,19,澜起科技,contemporaneous
